               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.036819,            0.015179,           0.0069969,              0.7796,             0.36968,             0.36822,             0.16815,             0.03787,           0.0099839,           0.0059623,            0.004258,            0.004258,            0.004258
                  60,            0.036297,            0.015197,           0.0069874,             0.79055,             0.35131,             0.36567,             0.17135,            0.037618,           0.0099749,           0.0062959,            0.004159,            0.004159,            0.004159
                  61,             0.03617,            0.015385,           0.0063417,              0.7905,             0.35694,              0.3864,             0.18077,            0.037525,            0.010121,           0.0060432,             0.00406,             0.00406,             0.00406
                  62,            0.035818,            0.015375,           0.0063419,             0.82012,             0.33799,             0.41259,             0.18945,            0.037432,            0.010009,           0.0059587,            0.003961,            0.003961,            0.003961
                  63,            0.035673,            0.015423,           0.0066781,             0.79661,               0.329,              0.3739,             0.17114,            0.038645,              0.0101,           0.0062581,            0.003862,            0.003862,            0.003862
                  64,            0.035674,            0.015211,           0.0058074,             0.80257,             0.37017,             0.38719,             0.17789,            0.037328,           0.0099942,            0.006409,            0.003763,            0.003763,            0.003763
                  65,            0.035276,            0.014892,           0.0057989,              0.7957,             0.36765,             0.37299,             0.16883,             0.03733,            0.010111,           0.0062219,            0.003664,            0.003664,            0.003664
                  66,            0.035543,            0.014992,           0.0067038,             0.80282,             0.36866,             0.37684,             0.17058,            0.037156,            0.010033,           0.0062437,            0.003565,            0.003565,            0.003565
                  67,            0.035048,            0.014973,           0.0059624,              0.8007,             0.35638,             0.38908,             0.17624,            0.037778,            0.010202,           0.0058737,            0.003466,            0.003466,            0.003466
                  68,            0.034875,            0.015107,           0.0059925,             0.79325,             0.35531,              0.3739,             0.17611,            0.037693,            0.010031,           0.0062725,            0.003367,            0.003367,            0.003367
                  69,            0.034935,            0.015124,           0.0064794,             0.81887,             0.36652,             0.37139,             0.17318,            0.037068,           0.0099808,           0.0060924,            0.003268,            0.003268,            0.003268
                  70,            0.034523,            0.015008,           0.0061661,             0.80517,             0.36018,             0.37993,             0.17381,            0.037063,            0.010006,           0.0060487,            0.003169,            0.003169,            0.003169
                  71,            0.034318,            0.014695,           0.0058571,             0.80855,             0.38151,             0.38514,             0.19042,            0.036409,           0.0099351,           0.0056635,             0.00307,             0.00307,             0.00307
                  72,            0.034327,            0.014841,           0.0057027,              0.8021,             0.37855,             0.37894,             0.18249,            0.036672,           0.0099594,           0.0060756,            0.002971,            0.002971,            0.002971
                  73,            0.034545,             0.01503,           0.0063098,             0.80556,              0.3554,             0.36478,             0.17511,             0.03691,           0.0099705,           0.0060205,            0.002872,            0.002872,            0.002872
                  74,            0.034158,            0.014459,           0.0054393,             0.78484,             0.37899,             0.37243,             0.17358,            0.036605,            0.010057,           0.0060447,            0.002773,            0.002773,            0.002773
                  75,            0.034146,            0.014804,           0.0057313,             0.79184,             0.36984,             0.36885,              0.1744,             0.03671,            0.010027,           0.0060715,            0.002674,            0.002674,            0.002674
                  76,            0.033624,            0.014584,           0.0055108,              0.8023,             0.36706,             0.39068,             0.17847,            0.037755,            0.010065,           0.0065498,            0.002575,            0.002575,            0.002575
                  77,            0.033562,             0.01499,           0.0054882,             0.83224,             0.35654,             0.39297,             0.18263,            0.037002,            0.010013,           0.0059888,            0.002476,            0.002476,            0.002476
                  78,            0.033823,             0.01503,           0.0056036,             0.82001,             0.35108,              0.3772,             0.17794,            0.036939,            0.010058,           0.0061272,            0.002377,            0.002377,            0.002377
                  79,            0.033275,            0.014877,           0.0054045,             0.80263,             0.35559,              0.3905,             0.17874,            0.036816,            0.010079,           0.0058475,            0.002278,            0.002278,            0.002278
                  80,            0.033009,            0.014813,           0.0056108,             0.80668,             0.36301,             0.38396,             0.17789,             0.03683,            0.010038,           0.0061165,            0.002179,            0.002179,            0.002179
                  81,            0.033173,            0.014847,           0.0057213,             0.80824,             0.37144,             0.39457,             0.18334,            0.036812,           0.0099888,           0.0060572,             0.00208,             0.00208,             0.00208
                  82,            0.032829,            0.014662,           0.0050669,             0.80549,             0.36797,             0.39103,              0.1889,            0.036773,           0.0098955,           0.0060894,            0.001981,            0.001981,            0.001981
                  83,            0.033099,            0.014989,           0.0055262,             0.80293,             0.36925,             0.38602,              0.1823,               0.037,           0.0099864,           0.0061683,            0.001882,            0.001882,            0.001882
                  84,            0.033073,            0.014809,           0.0056283,             0.80816,             0.35938,             0.37178,             0.17702,             0.03646,            0.010021,           0.0061281,            0.001783,            0.001783,            0.001783
                  85,            0.032334,            0.014412,           0.0050366,             0.79903,             0.37261,             0.36591,             0.18047,            0.036578,            0.010032,           0.0060506,            0.001684,            0.001684,            0.001684
                  86,            0.032497,            0.014573,           0.0051069,             0.80609,             0.36788,             0.38128,             0.18806,            0.036283,           0.0099093,           0.0060981,            0.001585,            0.001585,            0.001585
                  87,            0.032325,            0.014973,           0.0053269,              0.8172,             0.36618,             0.38458,             0.18868,            0.036216,           0.0099343,            0.005937,            0.001486,            0.001486,            0.001486
                  88,            0.032579,            0.014412,           0.0053251,             0.81407,             0.37745,             0.38872,               0.192,            0.035966,           0.0099507,           0.0059815,            0.001387,            0.001387,            0.001387
